id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words
144250,2026-03-05T21:40:47+00:00,"#bot 



ak kepikiran pengen batalin ikut bukber kls, mn aku udh bayar lgi
mls bgt ak bukber kls malah ketemu cwe problematik, ktmu di kls aj udh mls

mnding klo dia ga bikin masalah ke aku,lah itu dia selalu bikin masalah ke aku dan mojok²in aku
apapun yg aku lakuin salah dimata cewe itu pdhl aku selalu baik ke dia
aku salah apasi ke dia?

jujur awalnya aku tu ga terlalu peduli klo dia emg gasuka temenan sm aku 
tapi kenapa harus gitu caranya?
klo gasuka tp cuma gibahin aku doang mah aman 
lah itu? buat cerita seolah olah aku tu kayak gitu? apaan coba, jujur aku diginiin sm dia udh lebih dri 2 kali, rasanya mau nangis kalo digituin sm temen apalagi ak sm dia sm² cwe, saking gasuka nya sm aku harus bgt semua org benci sm aku? dia seneng pasti ngeliat aku sedih 
dan disitu aku cuma punya diri sendirii, bener² sedih si pas diposisi itu",160,836,4.156,3,panjang,178.557
143977,2026-02-25T11:36:30+00:00," 
 
 
pas di momen makan itu, Reza Arap lagi gak rame, gak teriak, gak chaotic. auranya turun pelan. terus dia nengok ke Gerry dengan ekspresi yang berubah total. biasanya dia keliatan dominan, energinya besar banget. tapi detik itu? kosong. polos. cuma ada satu pikiran di kepala: makan 🥹
terus dia bilang, “hara hetta.”
nadanya lembut. bukan bercanda keras. bukan gimmick berlebihan. kayak anak kecil yang cuma pengen dikasih perhatian dan sepiring makanan hangat ❤️🥹 ada semacam nada manja tipis yang bikin orang langsung refleks senyum. bukan karena lucu doang, tapi karena tulusnya kerasa banget 🥹
di situ vibes-nya persis Monkey D. Luffy kalau lagi lapar. versi yang gak mikir harga diri. yang penting perut kenyang dulu ❤️🍖 dan Gerry otomatis kerasa kayak Sanji. bukan karena dramatis, tapi karena situasinya cocok banget. satu kapten kelaparan. satu koki yang ditatap penuh harap 🥹❤️yang bikin makin gemas tuh kontrasnya. orang yang biasanya keliatan kuat dan ribut tiba tiba jadi kecil banget energinya. kayak semua topeng publiknya dilepas sebentar cuma buat bilang dia lapar 😭🥹 itu tuh tipe keimutan yang gak dibuat buat. gak dipaksakan. cuma keluar begitu aja.
dan ekspresi dia pas ngomong itu… ada campuran lugu, capek, lapar, tapi tetap santai ❤️🥹 kayak “tolong kasih makan tapi aku tetap chill.” manusia dewasa berubah jadi Luffy lapar itu kombinasi yang terlalu kuat buat ditolak 🥹🍖❤️momen itu singkat. cuma beberapa detik. tapi efeknya panjang. karena orang gak cuma lihat kata katanya. orang lihat nada, lihat tatapan, lihat perubahan energinya 🥹❤️dan anehnya, dua kata sederhana bisa bikin satu ruangan, bahkan satu internet, ikut meleleh dikit hari itu",256,1666,5.207,3,panjang,178.557
143671,2026-02-18T07:54:15+00:00," 
 
 
Ges mw crita bukannya gmn² ya cm ngerasa agak heran gmn gtu. Jdi kemarin pagi gua tu kan biasalah posting apa tau di sg (akun kedua gua) kaya vid kpop, foto gua pake filter plenger, trus curhatan. Nah pas gua liat d riwayat yg nonton tu, ada akun yg ga gua kenal pp ny cwe, tpi nama akun ny cwo gtu. Awalnya kaya bodoamat, mungkin dia lgi stalking org trus kepencet, trus jeda brp jam gua bkin lgi kan, nah dia ni liat lgi coy, trus gua kepoin akunnya. Dia gada follow gua, ga se followan jg sama org² yg gua kenal, trus di sorotan nya tu ada fto sm video cwe gtu kayanya si pacarnya soalnya judul sorotan nya ""🩷"". Trus kan ya smpe hari ini gua udh bkin sg yg ketiga kalinya pun dia masih ngeliat coy, kaya kan klo emg kepencet ga mungkin berkali² kan? Udh gtu sg gua jg tiap postingan ada jedanya kaya 2 menit, berapa jam, gtu lah. Gua coba cari akun cewe ny tpi ga nemu, dia  gada follow akun cwe gtu",178,901,3.916,3,panjang,178.557
143449,2026-02-15T13:44:28+00:00," 
 
 
Cara Membuat Kukis (Cookies) Sederhana dan Enak 🍪👩🏻‍🍳 Bahan: - 100gr mentega - 100gr gula pasir - 1 butir telur - 1/2 sendok teh vanila - 150gr tepung terigu - 1/2 sendok teh baking powder - 1/4 sendok teh garam - Choco chips atau kacang (opsional) Cara membuat: 1. Kream mentega dan gula pasir hingga lembut. 2. Tambahkan telur dan vanila. Aduk rata. 3. Campur tepung terigu, baking powder, dan garam. Tambahkan ke campuran mentega. Aduk rata. 4. Tambahkan choco chips atau kacang (jika menggunakan). Aduk rata. 5. Sendokkan adonan ke loyang yang telah disiapkan. 6. Panggang selama 15-20 menit atau hingga kecoklatan. 7. Angkat dari oven dan biarkan dingin. Tips: - Pastikan adonan tidak terlalu lembek atau terlalu keras. - Gunakan mentega yang berkualitas untuk hasil kukis yang lebih enak. - Jangan lupa untuk memanaskan oven sebelum memanggang. Selamat mencoba! 🍪👩🏻‍🍳",133,873,5.068,3,panjang,178.557
143290,2026-02-12T09:36:00+00:00," 
 
 
td gue lg jalan ber3 sm tmn gua, baru bbrpa langkah keluar dr gerbang skola (mau plg dlu ke rmh) trs tb' ada truk lewat trs si supir nya itu liatin gue smbil melet' trs si kenek nya jg sm liatin gua, smpe udh jarak agak jauhan jg ttp liatin gue smbil kpla dia kluar dr jendela mobil, ada yg bilang ke gua ""gede banget"" ""masuk ngga"" gatau siapa itu yg ngomong antara mereka ber2, trs si kenek nya jg ada ngomong lg pas posisi agak jauhan dikit yg kpla nya kluar itu, tp gua ga denger jelas krn suara dri skola itu berisik, tp gua emosi krn mereka blg gitu trs gua kata'in aja, lg gatau malu bgt ajg ty mreka, najis bgt di kira ok kli tu org bgtu, kenek nya kliatan agak muda tp supir yg melet' itu udh kliatn agak tua",146,716,3.788,3,panjang,178.557
143248,2026-02-11T12:13:51+00:00,"#istrisehun 
 
 
ada orang, gw ketemu nih di tele biasa lah, group"" cari pasangan gitu, kaya base base efwaybe gituu, nah gw ngmg nih kl gw nih kristen, nah dia ni islam, dia bilang dia rajin sholat, jamaah jg gitu oe masjid, ni barusan dia aja pamit mau jamaah gitu. oke lah bercanda"" login, trs gw mah bilang gw tu sm keluarga gw ga membatasi hubungan sosial dengan agama gitu, intinya bisa di bilang toleransi lahh, trs gw bilang ya yg penting kita berbuat baik, tiba"" dia ngirim quotes, inti quotes itu tu dia blg ""sebanyak""nya org berbuat baik kl ga sholat, percuma"" gitu lah, lahh gw nanya nih ke dia kl dia single gak, tau jawabannya apa? beristri punya anak 2, dan di awal dia udh cerita kl suka meet"", sm cewe di group/base itu bahkan sampe kadel dan kirim"" barang ( trmsk kirim bikini ) mnrt kalian reaksi gw harus apa😣, gw cmn bisa ketawa 🙏🏻",156,847,4.199,3,panjang,178.557
142922,2026-02-03T05:48:54+00:00,"#anon 
Perjalanan membawamu
Bertemu denganku
Ku bertemu kamu
Sepertimu yang kucari
Konon aku juga seperti yang kau cari
Kukira kita asam dan garam
Dan kita bertemu di belanga
Kisah yang ternyata tak seindah itu
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kasih sayangmu membekas
Redam kini sudah pijar istimewa
Entah apa maksud dunia
Tentang ujung cerita
Kita tak bersama
Semoga rindu ini menghilang
Konon katanya waktu sembuhkan
Akan adakah lagi yang sepertimu
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kau melanjutkan perjalananmu
Ku melanjutkan perjalananku
Uh uh uh
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira inikan mudah
Kau aku jadi kita
Kukira kita akan bersama

===
✉️ Kirimin Aku Pesan Rahasia",148,939,5.297,3,panjang,178.557
142764,2026-01-29T09:48:36+00:00," 
 
 
teman' semua, menurut km gimana klo aku resign? aku ga kuat, sehari disuruh angkat kardus 150 lebih, mana berat, udah waktunya pulang juga gaboleh karena harus selesain semua padahal masih ada sift 2 yg baru berangkat, aku udah angkatin kardus dari pagi sampai sore, gaada istirahatnya sama sekali, harus gerak terus, gaboleh duduk, istirahat pun cuma bentar bgt, makan selesai langsung shalat, abistu masih masukin mukena aja udah disuruh ke gudang lagi ambil barang, wajar gasi klo aku pengen resign? malu-maluin g klo aku resign? jujur cape bgt ga kuat, aku tau kok klo aku harus kerja biar bisa sukses, aku juga udah dibilangin owner kerja buat bantu orang tua, tapi menurut aku pekerjaannya berat banget aseli, aku harus gimana?atau kalian ada pengalaman kerja yang lebih bikin cape? biar aku bisa merenungi semua?",135,819,4.911,3,panjang,178.557
142436,2026-01-21T14:10:27+00:00,"#πππ 
 
 
Mau crita, aku tdi liat sg tmen ku, dia ngechat guru olahraga ku klo besok itu senam aja, senam baru, temen ku yg mimpin. AKU BOSEN BGT IH DRI MINGGU KEMARIN sebelum libur panjang itu kita senam mulu, uprak jg senam dan gru olahraga ku tu jdi kaya org kecanduan sm senam itu (ide dari temen ku) kita jarang bgt basket, sepak bola , bahkan badminton pun blm pernah d smester ini, dan guru ku ngajar tu ga sesuai sm materi yg d LKS gtu loh kaya terserah dia mau olahraga apa minggu ini. Trus aku niat nya mau chat tmen ku kan, aku ngirim chat gni ""besok senam?"", ""bosen"" Dan setelah kekirim aku baru sadar AKU SALAH KIRIM (T_T) ternyata malah ke no pembina pramuka, YaAllah aku malu bgt mau ngilang rasanya, padahal kaya tdi nama kontak nya tu nama tmen ku gtu loh ya Allah (T_T)",148,782,4.108,3,panjang,178.557
142347,2026-01-18T14:25:23+00:00," 
 
 
lama ga tinggal bareng sama keluarga krn mencar smua dan jarang bgt komunikasi jugá, aku jadi gatau apa yg harus aku lakuin dan aku ngerasa canggung sama keluarga sendiri ky mereka itu orang asing... ppa punya kluarga baru dan aku disuruh ikut kluarga baru nya sm nenek tp aku gamau dan mama ku jg ga izinin (mma ku di ln), aku gatau harus apa nanti nya, aku gatau cara berinteraksi sm org yg blm bisa ku anggap sbgai ibu ku juga wlpn dia baik, aku udh gatau lagi makna keluarga dan udah ngerasa ga ada lagi kehidupan keluarga di hidupku, aku udah terbiasa sama kehidupan ku yg ky bgni yg tinggal kesana kesini wlpn aku masih remaja, hidup sesuka ku, dlu dlm keluarga aku org yg paling bawel tapi skrng ngga, aku lebih suka diem dan gamau ngomong klo ga di tanya. dlu ku juga dkt sm mama dan gabisa jauh dr mama tp skrng mlh ngerasa ga enak dan canggung klo mau chat mama, chat aja sebulan cm bbrpa kli, apalgi vc atau call wkwk, udh gaperna lg vc",180,947,4.172,3,panjang,178.557
